job_title,job_category,client_name,fee,description
新規にオープンする美容院のHP制作とSEO対策,レスポンシブサイト制作,pin_6053,"100,000円~200,000円 / 固定",■ サイトの種類店舗サイト■ 依頼の目的・背景3月中旬オープンの美容院（特徴：若年層がメインのターゲット）のホームページ制作とSEO対策■ 期待する効果・検索エンジンの上位に表示してアクセスを増やしたい・商品、サービスの認知度を上げたい・問い合わせを増やして新規リードを獲得したい・スマートフォンに対応させたい■ ターゲット像・20代・30代・40代...
企業HP作成,EC・通販ホームページ制作,YAJIMACORP,"100,000円~200,000円 / 固定",■ サイトの種類企業サイト■ 依頼の目的・背景1.企業宣伝2.商品宣伝3.物販■ 期待する効果・検索エンジンの上位に表示してアクセスを増やしたい・商品、サービスの認知度を上げたい・ネットショップの売上を伸ばしたい・問い合わせを増やして新規リードを獲得したい・スマートフォンに対応させたい・サイトが古いのでリニューアルしたい・多言語対応で海外展開をしたい...
美容技術セミナー募集LPページ制作,ランディングページ（LP）制作,S-kouno,"50,000円~100,000円 / 固定",■ 依頼の目的・背景弊社が運営している美容整骨学院の各授業の募集を、今までは展示会集客メインでしたが、LPを用いて広告集客へ変換していく事を目的としてます。メインターゲット層は男女共に同様な業種または、独立したい、手に職をつけて自立したいなど考えている方々です。■ ターゲット像・20代・30代・40代・男性・女性・その他■ ページ数2ページ■ スマホ...
月額制のニュースサイト作成,ホームページ制作・作成,nozuchi,"200,000円~300,000円 / 固定",■ サイトの種類会員サイト■ 依頼の目的・背景月額制のニュースサイトのようなサービスの開発を行いたいと思っております。内容としましては、サイト構築、管理画面作成、決済の接続になります。決済代行会社を通じた決済接続の経験がある方を優先的に採用させていただきますので、ご連絡お待ちしております。決済代行会社へのサイト審査等もございますので、少しお時間はかかるかと思います...
【リクルートサイトのデザインをお願いします】※その他多数案件あり,レスポンシブサイト制作,イトナブ,"100,000円~200,000円 / 固定",■ 依頼の目的・背景新規で弊社の「リクルートサイト」を制作することになり、デザイナーを募集いたします。※コーディングは弊社エンジニアが担当いたします。納期が近いのでデザインデータは適時頂きたいです。（完成したページからコーディングしたい為）納品はAdobeXDでお願いいたします。また、弊社スタッフを共同編集に入れていただけると完成した箇所からコーディングに移れるので助...
carpediemブラジリアン柔術スタジオのホームページ作成&SEO設定,レスポンシブサイト制作,Carpediem Studio,"50,000円~100,000円 / 固定",■ サイトの種類企業サイト■ 依頼の目的・背景世界中に25支部を展開する『Carpediem』ブラジリアン柔術が新設するプライベートレッスン専用スタジオ（2022年3月オープン）のホームページ作成を依頼したいです。現在wordpress（avada）で製作されたページがあるのですが、avadaが海外のプラグインのため、自身で運用・更新が困難です。運用・更新が容易なプラグインに...
イタリアンバルのHPと通販用ページ,EC・通販ホームページ制作,world-takahiro,"50,000円~100,000円 / 固定",■ サイトの種類店舗サイト■ 依頼の目的・背景ホームページが古いため直したい。これから通販も始めるので通販を行なっていく旨と通販サイトへの紐付けInstagramとの連動■ 期待する効果・商品、サービスの認知度を上げたい・ネットショップの売上を伸ばしたい・スマートフォンに対応させたい・サイトが古いのでリニューアルしたい■ ターゲット像・20代・30...
wordpressのカスタム投稿など設定全般詳しい方,CMS構築・WordPress制作・導入,morimotown,"100,000円~200,000円 / 固定",■ 依頼の目的・背景wordpressのカスタム投稿など全般カスタムに関して詳しい方ぜひご相談させていただけますでしょうか。サーバーの載せ替えや修正などそういうのもあると思います。それと割と今月末から来月頭でお時間取れる方だとありがたいです。またHTML/CSS/JSなどもわかる方でお願いしたいです。連絡が基本的につながる方でお願いしたいです。これまでの制作実績な...
【至急】WordPressによるコーディング依頼（デザインカンプは完成済み）,CMS構築・WordPress制作・導入,plush,"200,000円~300,000円 / 固定",■ 依頼の目的・背景下記のサイトをリニューアル予定です。https://chou-chou11.com/社内で対応予定でしたが、リソースが厳しいため依頼させて頂きます。たいへん短納期で恐縮ですが、スピード感を持って対応できる方を募集します。■CMS現在、WordPressで動いています。今後もWordPressで運用しますので、テーマの制作をお願いします。...
歯科クリニックのHPの新規製作,レスポンシブサイト制作,medico-consul,"50,000円~100,000円 / 固定",■ 依頼の目的・背景3月開業予定のクリニックサイトの新規製作です。コーディングなし、デザインのみの依頼です。■ 期待する効果・アクセスUP・認知向上・問い合わせ向上・その他■ サイトの種類クリニック紹介■ ターゲット像・10代・20代・30代・40代・50代・60代・70代・男性・女性・その他■ ページ数1 ～ 5ページ...
